col_1,create_age(months),expiry_age(months),update_age(days),URL,Label
6165,237,15,130,http://timesofindia.indiatimes.com/...,0
739,-1,-1,-1,http://www.winalitelatvia.lv/components/com_banners/helpers/Paype/...,1
6532,189,3,373,http://www.4greatresumes.com/...,0
6089,13,11,21,http://www.cosureb.com/wp-content/g8634d010eacf55520/index2.php?cmd=33...,1
100,41,43,614,http://phalconwellness.com/2/online.wellsfargo.secure.userrstore894398...,1
1586,-1,-1,-1,http://www.faqs.org/faqs/robotics-faq/...,0
5328,-1,-1,-1,http://amazon.wio5p.cf/536547/ger/amazon/oqJkhR6lZKdF5xC/sicherheitsce...,1
223,32,4,265,http://denvertechexecutiverents.com/Gssss/Gssss/38da731c8618a76111f2e0...,1
4426,-1,-1,-1,http://aleph0.clarku.edu/~djoyce/mathhist/china.html...,0
207,212,52,359,http://www.gourmetwines.com/...,0
4546,149,114,167,http://www.javaboulevard.com/...,0
4442,189,3,290,http://www.counton.org/...,0
2976,4,32,59,http://www.nukestudio.org/huoxiaodong.org/newdocs...,1
3999,208,20,38,http://www.florislondon.com/...,0
1948,193,34,5889,http://www.triplecrownsportsonline.com/...,0
3833,-1,-1,-1,http://chiatena.zxy.me/presentations/dir/es/auth/view/document...,1
1310,187,77,245,http://en.wikipedia.org/wiki/Apple_Inc....,0
3534,-1,-1,-1,http://pulse-entertainment.ca/blog/wp-content/950dd61c24e2f3109c78aa7d...,1
3626,-1,-1,-1,http://192.185.72.166/~rich/tradekeyhomepage.htm...,1
2944,277,23,43,http://www.journals.elsevier.com/archives-of-biochemistry-and-biophysics/...,0
6310,46,2,327,http://litefieldng.com/USAA/...,1
1182,5,7,61,http://www.nadkiaphotografi.com/validate/validate/EmailVerification.ht...,1
5329,-1,-1,-1,http://www.cloudwine.com.au/...,0
463,168,24,9,http://www.balletrussian.org/admin/service/costumer/information/check/...,1
41,7,5,154,http://web.kiaanevents.com/pagedoc/f69c6e98fb234fcaa7a139de2d3e9352...,1
2597,13,11,19,http://www.pectoset.com/Drpbox2016/wdd/date...,1
3056,197,7,189,http://www.educationinfoindia.com/...,0
292,127,77,48,http://www.valentineperfume.com/...,0
6024,24,12,480,http://www.citibuildersgroup.com/account-updating-information/e14c6b84...,1
6287,-1,-1,-1,http://woj.com.br/craftcheck/page/...,1
3383,70,2,740,http://smbk.pl/mail.php...,1
2155,124,8,127,http://www.ellia.org/...,0
266,202,62,13,http://www.williamsonbros.com/...,0
3513,66,6,172,http://www.soloheaven.info/images/specials/www.wellsfargo.com/www.well...,1
2019,179,13,609,http://porting-unix-to-the-386.jolix.com/...,0
5682,-1,-1,-1,http://www.pictouanglicans.ca/i/dropoxii/...,1
1896,78,18,481,http://ourclementine.com/Easyweb%20TD%20Bank%20Trust%20Canada%20Online...,1
4820,218,10,102,http://www.reactionresearch.com/aol/Gdoccc/...,1
6259,-1,-1,-1,http://fireflightyoga.com.au/doc/wp-documents...,1
1859,-1,-1,-1,http://avancoservico.com.br/smokkks/www.usaa-signon.com/login.html...,1
2723,192,11,46,http://eu-med.blogspot.com/...,0
5514,-1,-1,-1,http://www.slf.ruhr-uni-bochum.de/learning/tanbib.html...,0
5862,226,14,213,http://hiroba.dqx.jp.icuxl.usa.cc/...,1
1178,149,43,393,http://simplyhired.com/...,0
6849,-1,-1,-1,http://www.football.co.uk/manchester-city/news...,0
2391,221,7,439,http://www.indeed.com/...,0
4631,193,11,55,http://etonvintners.com/...,0
2060,112,8,999,http://www.itimanufacturing.com/...,0
2444,-1,-1,-1,http://confirmfb-page.at.ua/safety_account_settings.html...,1
2562,70,14,665,http://ukapp.occwrt.org/uid:17281/1127c/...,1
6835,197,4,218,http://www.looneybean.com/...,0
1249,2,10,73,http://customer-accountupdate.com/webapps/3541a/websrc...,1
3393,-1,-1,-1,http://99utilities.com.br/olele/2016gdoc/index.html...,1
4467,47,12,47,http://stclairfitnesscenter.com/securedserver/user/login/products/view...,1
6782,10,2,243,http://dizipat.com/bobbu/b09962066c0faab08fc5ad11b1d1bb19/...,1
4520,142,2,333,http://www.smart-it-consulting.com/database/progress-database-design-guide/...,0
2127,-1,-1,-1,http://looginto.ga/gue/login-fr/login/...,1
6907,204,12,384,http://bandhits.co.uk/...,0
3212,-1,-1,-1,http://www.cvclinics.com.au/wp-admin/drive/es/auth/view/document...,1
6235,-1,-1,-1,http://i1.dk/idh/...,0
6851,105,3,286,http://ippnstaff.com/document/8ae054fe894fcf9fcbcf362727565f15/...,1
5371,-1,-1,-1,http://www.math.hmc.edu/resources/odes/codee/...,0
5606,51,9,107,http://www.autohausnc.com/wp-includes/images/smilies/4fe2dc07185ad9cef...,1
6727,47,0,690,http://appleweb.enlacegsm.com/Login.php...,1
707,223,5,254,http://www.eurosandow.com/...,0
5224,12,0,4,http://www.fungist.net/MusicJukebox/pagesecure/nD...,1
1006,236,52,389,http://www.bluemountaincoffee.com/...,0
3216,217,12,-1,http://eqworld.ipmnet.ru/...,0
5844,142,2,676,http://www.femcareworld.com/...,0
4937,15,9,-1,http://keratin-spb.ru/checkpoint/security/1b8ehhph6c5edmtvxlyeaah6069j...,1
5658,249,75,740,http://www.gnu.org/software/gsl/...,0
4106,26,-2,21,http://www.eslapaz.com/components/com_content/views/form/tmpl/fib/fib/...,1
1480,-1,-1,-1,http://aor.gr/components/com_users/models/sc/newp/index.php?.randinbox...,1
5172,-1,-1,-1,http://hyhpzx.cn/js/?http://us.battle.net/login/en/?refÉ...,1
1296,115,6,211,http://daveanddawn070707.com/aol/index.htm...,1
628,-1,-1,-1,http://tvnz.co.nz/cricket-news...,0
3150,159,9,4841,http://www.greatamericanjewelry.com/...,0
4228,231,9,297,http://www.edgarbrown.com/...,0
1702,-1,-1,-1,http://www.capricorncoldstorage.co.za/wp-admin/images/det.htm...,1
3057,-1,-1,-1,http://fsta.com.br/cad/update/d7e7d9ff408c8a48e78c897f272335a0/...,1
5894,-1,-1,-1,http://awuziestmatthew.org/lat-lk-yh-9-6-16/1464499151f2ZcYpD1KBRobaHX...,1
321,208,8,475,http://indiantelevision.com/...,0
2826,204,62,1770,http://www.mathpages.com/home/icalculu.htm...,0
593,-1,-1,-1,http://vigilancia.lapaz.bo/http/Outlook-Login.htm...,1
4714,-1,-1,-1,http://www.etown.edu/vl/...,0
6971,-1,-1,-1,http://tudoemprata.com.br/numee/usaa.com-sec-inet-auth-logon-ent-logon...,1
2998,-1,-1,-1,http://www.math.osu.edu/~gerlach/math/BVtypset/node2.html...,0
4358,58,14,-1,http://paypalresolu.myjino.ru/payus/...,1
1751,240,60,72,http://www.juju.com/...,0
797,17,7,172,http://www.xpressbuzz.com/uploads/alibaba/index.php...,1
391,119,13,7,http://www.sportmapworld.com/map/soccer/england/fa-premier-league/...,0
5528,233,55,24,http://middlebury.net/olradio/...,0
2719,199,29,6053,http://www.jozev.com/...,0
2329,-1,43,-1,http://www.mineralia.com.mx/...,0
904,-1,-1,-1,http://firstclasstransfers.com.au/trade/alibaba/index.php?email=abuse@...,1
6577,-1,-1,-1,http://www.heimdalstorband.no/libraries/fof/hal/render/aol.com.htm...,1
6911,-1,-1,-1,http://appleid.apple.com-subscriptions.manager1302665067.kevinfoley.co...,1
5502,230,10,382,http://www.patsyscandies.com/...,0
4132,192,11,46,http://fcbarcelona-spain.blogspot.com/...,0
1349,-1,-1,-1,http://www.corianderuniforms.com.au/Ltd/westpac...,1
968,3,9,3,http://www.fasonery.net/office15/...,1
2347,289,35,543,http://www.ams.org/mathscinet/...,0
6484,166,2,307,http://www.kfandra.com/...,0
5231,150,6,184,http://www.gujaratglobal.com/...,0
5763,196,80,799,http://www.serenaspenser.com/...,0
3020,243,9,87,http://www.recruitersonline.com/...,0
4679,190,14,229,http://ondisplayusa.com/wp-admin/maint/firstweb1.php...,1
3017,12,24,363,http://haoqin87.com/northern%20/gtex/...,1
5813,229,35,2271,http://www.prep-pub.com/...,0
3865,39,9,102,http://www.maddventures.com/~sefinfo/assistance.freemobile.fr/mcompte/...,1
3200,234,6,562,http://www.edbydesign.com/automath.html...,0
1098,134,10,433,http://www.manchestercity.vitalfootball.co.uk/...,0
2033,-1,-1,-1,http://hpes.com.au/anzbank/au.html...,1
4729,189,63,339,http://www.kashmirlive.com/...,0
2680,3,9,58,http://chidima.top/Yahmail2/index2.php...,1
4300,-1,-1,-1,http://209.35.190.202/wp-content/login.jsp.htm...,1
393,-1,-1,-1,http://www.npr.org/rss/rss.php?id=1006...,0
4362,-1,-1,-1,http://radiodj.com.gt/movil/_priv/googlefile/file.html?secure=04331901...,1
2361,-1,-1,-1,http://aor.gr/components/com_users/models/sc/newp/index.php?.randinbox...,1
6074,120,36,820,http://www.vibranture.com/...,0
6926,-1,-1,-1,http://staffkita.blogspot.se/...,1
